FID,SHAPE,BEZIRK,STRASSE,BEZUG,ONR,BIS,STIEGE,FRAKTION_PA,FRAKTION_BI,FRAKTION_DO,FRAKTION_G,FRAKTION_KV,FRAKTION_TEXT,URL_TEXT,SE_SDO_ROWID,SE_ANNO_CAD_DATA
ALTSTOFFSAMMLUNGOGD.9077859,POINT (16.329248054986348 48.14844738283639),23,Futterknechtgasse,vor,35,,,1,0,0,1,1," Altpapier, Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077859,
ALTSTOFFSAMMLUNGOGD.9077860,POINT (16.327386641435464 48.145307869369404),23,Futterknechtgasse,gegenüber,84,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077860,
ALTSTOFFSAMMLUNGOGD.9077861,POINT (16.25989549726816 48.13562849076457),23,Fürst-Liechtenstein-Straße,vor,18,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077861,
ALTSTOFFSAMMLUNGOGD.9077862,POINT (16.296950993498506 48.15229571333075),23,Gastgebgasse,bei,27,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077862,
ALTSTOFFSAMMLUNGOGD.9077863,POINT (16.289798877868428 48.15018753899422),23,Gatterederstraße,vor,17,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077863,
ALTSTOFFSAMMLUNGOGD.9077864,POINT (16.288014588126295 48.14683679629846),23,Gatterederstraße,neben,28,,,0,0,0,1,1," Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077864,
ALTSTOFFSAMMLUNGOGD.9077865,POINT (16.262851553209757 48.15215959993286),23,Gebirgsgasse,gegenüber,1A,,,1,0,0,1,0," Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077865,
ALTSTOFFSAMMLUNGOGD.9077866,POINT (16.30152883261706 48.15014247562259),23,Gerbergasse,vor,2,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077866,
ALTSTOFFSAMMLUNGOGD.9077867,POINT (16.299161486385763 48.15073421784379),23,Gerbergasse,vor,4,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077867,
ALTSTOFFSAMMLUNGOGD.9077868,POINT (16.30647741677649 48.14270836410961),23,Giffingergasse,vor,2,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077868,
ALTSTOFFSAMMLUNGOGD.9077869,POINT (16.32386219598173 48.13993826342368),23,Gleichentheilgasse,gegenüber,1,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077869,
ALTSTOFFSAMMLUNGOGD.9077870,POINT (16.325079749719016 48.14401883797827),23,Goldhammergasse,vor,40,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077870,
ALTSTOFFSAMMLUNGOGD.9077871,POINT (16.355298899673837 48.1422600270973),23,Gorskistraße,vor,14,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077871,
ALTSTOFFSAMMLUNGOGD.9077872,POINT (16.328744050100443 48.13849543167125),23,Granergasse,vor,8,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077872,
ALTSTOFFSAMMLUNGOGD.9077873,POINT (16.248338033217276 48.137209005757896),23,Gräfin-Zichy-Straße,vor,1,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077873,
ALTSTOFFSAMMLUNGOGD.9077874,POINT (16.30604674104211 48.15353134657796),23,Gregorygasse,gegenüber,14A,,,0,0,0,0,1, Leichtverpackungen,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077874,
ALTSTOFFSAMMLUNGOGD.9077875,POINT (16.30588504515742 48.154922118760155),23,Gregorygasse,vor,19,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077875,
ALTSTOFFSAMMLUNGOGD.9077876,POINT (16.305571681315705 48.15616446067057),23,Gregorygasse,gegenüber,7,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077876,
ALTSTOFFSAMMLUNGOGD.9077877,POINT (16.323470117153477 48.15577571813893),23,Gsellhofergasse,gegenüber,17,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077877,
ALTSTOFFSAMMLUNGOGD.9077878,POINT (16.328942421086197 48.153509698266696),23,Gutheil-Schoder-Gasse,vor,76,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077878,
ALTSTOFFSAMMLUNGOGD.9077879,POINT (16.306627615445134 48.12447126345697),23,Hans-Temple-Gasse,bei,23,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077879,
ALTSTOFFSAMMLUNGOGD.9077880,POINT (16.25025168830794 48.13601083081709),23,Haselbrunnerstraße,vor,10,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077880,
ALTSTOFFSAMMLUNGOGD.9077881,POINT (16.250429884052938 48.13558306094672),23,Haselbrunnerstraße,gegenüber,14,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077881,
ALTSTOFFSAMMLUNGOGD.9077882,POINT (16.27552984924695 48.140733239382854),23,Hasenwartgasse,vor,47,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077882,
ALTSTOFFSAMMLUNGOGD.9077883,POINT (16.277894791626817 48.146851719590266),23,Haymogasse,gegenüber,1,,,1,0,0,1,1," Leichtverpackungen, Altpapier, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077883,
ALTSTOFFSAMMLUNGOGD.9077884,POINT (16.25896958741202 48.14643533337759),23,Haymogasse,vor,128,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077884,
ALTSTOFFSAMMLUNGOGD.9077885,POINT (16.257782692926487 48.14645179760283),23,Haymogasse,bei,136,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077885,
ALTSTOFFSAMMLUNGOGD.9077886,POINT (16.25649140162174 48.14636880111526),23,Haymogasse,gegenüber,144,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077886,
ALTSTOFFSAMMLUNGOGD.9077887,POINT (16.275330329649744 48.14640783043372),23,Haymogasse,gegenüber,19,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077887,
ALTSTOFFSAMMLUNGOGD.9077888,POINT (16.269168790682592 48.14585590330751),23,Haymogasse,neben,57,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077888,
ALTSTOFFSAMMLUNGOGD.9077889,POINT (16.266849366474993 48.14565784469003),23,Haymogasse,vor,69,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077889,
ALTSTOFFSAMMLUNGOGD.9077890,POINT (16.27918249013252 48.1561754592359),23,Heißgasse,gegenüber,51,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077890,
ALTSTOFFSAMMLUNGOGD.9077891,POINT (16.318454070012066 48.14433970083682),23,Helene-Thimig-Weg,gegenüber,10,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077891,
ALTSTOFFSAMMLUNGOGD.9077892,POINT (16.258842285491706 48.130081954573946),23,Hochstraße,vor,35,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077892,
ALTSTOFFSAMMLUNGOGD.9077893,POINT (16.358480360158406 48.14799458210319),23,Hochwassergasse,gegenüber,12,,,0,0,0,0,1, Leichtverpackungen,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077893,
ALTSTOFFSAMMLUNGOGD.9077894,POINT (16.35041539246219 48.15039537284079),23,Hochwassergasse,gegenüber,58,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077894,
ALTSTOFFSAMMLUNGOGD.9077895,POINT (16.329553191805935 48.14049604665458),23,Hubermanngasse,vor,5,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077895,
ALTSTOFFSAMMLUNGOGD.9077896,POINT (16.33483745493128 48.14588178878422),23,Hungereckstraße,gegenüber,2A,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077896,
ALTSTOFFSAMMLUNGOGD.9077897,POINT (16.329624574784624 48.13916503826184),23,Hungereckstraße,gegenüber,85,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077897,
ALTSTOFFSAMMLUNGOGD.9077898,POINT (16.261368042147442 48.155602001699776),23,Im Gereute,vor,16,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077898,
ALTSTOFFSAMMLUNGOGD.9077899,POINT (16.272553489050328 48.14930883060693),23,Jesuitensteig,gegenüber,26,,,1,0,0,1,0," Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077899,
ALTSTOFFSAMMLUNGOGD.9077900,POINT (16.352353676668795 48.1407939389753),23,Jochen-Rindt-Straße,gegenüber,17,,,0,1,0,1,1," Leichtverpackungen, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077900,
ALTSTOFFSAMMLUNGOGD.9077901,POINT (16.354037124877337 48.146060358160014),23,Jochen-Rindt-Straße,bei,2,,,0,1,0,1,1," Leichtverpackungen, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077901,
ALTSTOFFSAMMLUNGOGD.9077902,POINT (16.35222866577921 48.13934899870019),23,Jochen-Rindt-Straße,gegenüber,23,,,0,0,0,1,1," Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077902,
ALTSTOFFSAMMLUNGOGD.9077903,POINT (16.34657843912022 48.1456208751159),23,Johann-Dunkl-Gasse,vor,7,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077903,
ALTSTOFFSAMMLUNGOGD.9077904,POINT (16.325998777436553 48.150708960241474),23,Johann-Gottek-Gasse,vor,18,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077904,
ALTSTOFFSAMMLUNGOGD.9077905,POINT (16.326507302575095 48.15154385289616),23,Johann-Gottek-Gasse,neben,8,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077905,
ALTSTOFFSAMMLUNGOGD.9077906,POINT (16.274244179395083 48.14545890527652),23,Johann-Teufel-Gasse,gegenüber,29,,,1,0,0,1,0," Altpapier, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077906,
ALTSTOFFSAMMLUNGOGD.9077907,POINT (16.274174406019245 48.14403234719361),23,Johann-Teufel-Gasse,gegenüber,39,47,,1,0,0,1,1," Leichtverpackungen, Altglas, Leichtverpackungen, Altpapier,",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077907,
ALTSTOFFSAMMLUNGOGD.9077908,POINT (16.273873651498814 48.14115962710321),23,Johann-Teufel-Gasse,vor,77,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077908,
ALTSTOFFSAMMLUNGOGD.9077909,POINT (16.274007391691107 48.14813923573596),23,Johann-Teufel-Gasse,gegenüber,9,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077909,
ALTSTOFFSAMMLUNGOGD.9077910,POINT (16.265504637658196 48.14064774522595),23,Josef-Bühl-Gasse,vor,23,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077910,
ALTSTOFFSAMMLUNGOGD.9077911,POINT (16.294345561644636 48.130760548397404),23,Josef-Meder-Gasse,gegenüber,31,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077911,
ALTSTOFFSAMMLUNGOGD.9077912,POINT (16.285482043530465 48.13162016478219),23,Josef-Schlima-Gasse,bei,2,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077912,
ALTSTOFFSAMMLUNGOGD.9077913,POINT (16.26677217424847 48.13692329999606),23,Kaiser-Franz-Josef-Straße,neben,20A,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077913,
ALTSTOFFSAMMLUNGOGD.9077914,POINT (16.24471837316914 48.137985186253),23,Kalksburg-Kirchenplatz,neben,5,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077914,
ALTSTOFFSAMMLUNGOGD.9077915,POINT (16.24495039659386 48.13776755206049),23,Kalksburg-Kirchenplatz,gegenüber,5,,,0,0,0,1,1," Altglas, Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077915,
ALTSTOFFSAMMLUNGOGD.9077916,POINT (16.25667209606816 48.14788133232377),23,Kalksburger Straße,vor,13,,,1,0,0,1,0," Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077916,
ALTSTOFFSAMMLUNGOGD.9077917,POINT (16.258999215076226 48.14800729513245),23,Kalksburger Straße,bei,3,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077917,
ALTSTOFFSAMMLUNGOGD.9077918,POINT (16.258516822439827 48.13156878445505),23,Kaltenleutgebner Straße,bei,1,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077918,
ALTSTOFFSAMMLUNGOGD.9077919,POINT (16.235178906105894 48.129889493679755),23,Kaltenleutgebner Straße,vor,129,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077919,
ALTSTOFFSAMMLUNGOGD.9077920,POINT (16.240756320109252 48.131032545041876),23,Kaltenleutgebner Straße,vor,14,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077920,
ALTSTOFFSAMMLUNGOGD.9077921,POINT (16.224208733350288 48.12512562957811),23,Kaltenleutgebner Straße,vor,24,,,0,0,0,1,0," Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077921,
ALTSTOFFSAMMLUNGOGD.9077922,POINT (16.25479413599366 48.13013042294454),23,Kaltenleutgebner Straße,gegenüber,6,,,1,0,0,1,1," Altglas, Altpapier, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077922,
ALTSTOFFSAMMLUNGOGD.9077923,POINT (16.24578148760155 48.13175292508605),23,Kaltenleutgebner Straße,neben,65,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077923,
ALTSTOFFSAMMLUNGOGD.9077924,POINT (16.275837705462777 48.15092786766831),23,Kanitzgasse,vor,43,,,1,0,0,1,1," Leichtverpackungen, Altpapier, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077924,
ALTSTOFFSAMMLUNGOGD.9077925,POINT (16.27753823144625 48.15031009727603),23,Kanitzgasse,gegenüber,57,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077925,
ALTSTOFFSAMMLUNGOGD.9077926,POINT (16.312048992578223 48.15492330580563),23,Karl-Heinz-Straße,vor,67,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077926,
ALTSTOFFSAMMLUNGOGD.9077927,POINT (16.30979577205021 48.14925289041862),23,Karl-Scheiber-Gasse,vor,1,,,1,0,0,1,1," Altpapier, Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077927,
ALTSTOFFSAMMLUNGOGD.9077928,POINT (16.277298204313077 48.1601864210016),23,Karl-Schwed-Gasse,gegenüber,2,,,1,0,0,1,1," Altpapier, Altglas, Leichtverpackungen",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077928,
ALTSTOFFSAMMLUNGOGD.9077929,POINT (16.27979857167135 48.15351635276686),23,Karl-Schwed-Gasse,vor,92,,,1,0,0,1,0," Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077929,
ALTSTOFFSAMMLUNGOGD.9077930,POINT (16.317479537569714 48.13143564630912),23,Karl-Tornay-Gasse,gegenüber,22,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077930,
ALTSTOFFSAMMLUNGOGD.9077931,POINT (16.315358040380953 48.13195644644707),23,Karl-Tornay-Gasse,bei,39,,,1,0,0,1,1," Leichtverpackungen, Altglas, Altpapier",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077931,
ALTSTOFFSAMMLUNGOGD.9077932,POINT (16.312681856193315 48.132613524483375),23,Karl-Tornay-Gasse,vor,45,47,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077932,
ALTSTOFFSAMMLUNGOGD.9077933,POINT (16.312682967222234 48.12545257413517),23,Kellerberggasse,vor,5,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077933,
ALTSTOFFSAMMLUNGOGD.9077934,POINT (16.304870172824614 48.12590065162639),23,Kellerberggasse,gegenüber,59,,,0,0,0,1,1," Leichtverpackungen, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077934,
ALTSTOFFSAMMLUNGOGD.9077935,POINT (16.272843626901018 48.13663802776942),23,Kerngasse,vor,1,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077935,
ALTSTOFFSAMMLUNGOGD.9077936,POINT (16.271642159037185 48.136673962749086),23,Kerngasse,gegenüber,11,,,1,0,0,0,0, Altpapier,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077936,
ALTSTOFFSAMMLUNGOGD.9077937,POINT (16.303952267725435 48.12810394834098),23,Ketzergasse,vor,110,,,0,1,0,1,1," Leichtverpackungen, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077937,
ALTSTOFFSAMMLUNGOGD.9077938,POINT (16.29736844882959 48.129611179337786),23,Ketzergasse,neben,132,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,9077938,
